Initializing cache
    new inotifyFd = 4
        markCacheSlotEmpty: slot = 0;  wd = 0; path = 
        markCacheSlotEmpty: slot = 145;  wd = 0; path = 
        markCacheSlotEmpty: slot = 146;  wd = 0; path = 
        markCacheSlotEmpty: slot = 147;  wd = 0; path = 
        markCacheSlotEmpty: slot = 148;  wd = 0; path = 
        markCacheSlotEmpty: slot = 149;  wd = 0; path = 
        markCacheSlotEmpty: slot = 150;  wd = 0; path = 
        markCacheSlotEmpty: slot = 151;  wd = 0; path = 
        markCacheSlotEmpty: slot = 152;  wd = 0; path = 
        markCacheSlotEmpty: slot = 153;  wd = 0; path = 
        markCacheSlotEmpty: slot = 154;  wd = 0; path = 
        markCacheSlotEmpty: slot = 155;  wd = 0; path = 
        markCacheSlotEmpty: slot = 156;  wd = 0; path = 
        markCacheSlotEmpty: slot = 157;  wd = 0; path = 
        markCacheSlotEmpty: slot = 158;  wd = 0; path = 
        markCacheSlotEmpty: slot = 159;  wd = 0; path = 
        markCacheSlotEmpty: slot = 160;  wd = 0; path = 
        markCacheSlotEmpty: slot = 161;  wd = 0; path = 
        markCacheSlotEmpty: slot = 162;  wd = 0; path = 
        markCacheSlotEmpty: slot = 163;  wd = 0; path = 
        markCacheSlotEmpty: slot = 164;  wd = 0; path = 
        markCacheSlotEmpty: slot = 165;  wd = 0; path = 
        markCacheSlotEmpty: slot = 166;  wd = 0; path = 
        markCacheSlotEmpty: slot = 167;  wd = 0; path = 
        markCacheSlotEmpty: slot = 168;  wd = 0; path = 
        markCacheSlotEmpty: slot = 169;  wd = 0; path = 
        markCacheSlotEmpty: slot = 170;  wd = 0; path = 
        markCacheSlotEmpty: slot = 171;  wd = 0; path = 
        markCacheSlotEmpty: slot = 172;  wd = 0; path = 
        markCacheSlotEmpty: slot = 173;  wd = 0; path = 
        markCacheSlotEmpty: slot = 174;  wd = 0; path = 
        markCacheSlotEmpty: slot = 175;  wd = 0; path = 
        markCacheSlotEmpty: slot = 176;  wd = 0; path = 
        markCacheSlotEmpty: slot = 177;  wd = 0; path = 
        markCacheSlotEmpty: slot = 178;  wd = 0; path = 
        markCacheSlotEmpty: slot = 179;  wd = 0; path = 
        markCacheSlotEmpty: slot = 180;  wd = 0; path = 
        markCacheSlotEmpty: slot = 181;  wd = 0; path = 
        markCacheSlotEmpty: slot = 182;  wd = 0; path = 
        markCacheSlotEmpty: slot = 183;  wd = 0; path = 
        markCacheSlotEmpty: slot = 184;  wd = 0; path = 
        markCacheSlotEmpty: slot = 185;  wd = 0; path = 
        markCacheSlotEmpty: slot = 186;  wd = 0; path = 
        markCacheSlotEmpty: slot = 187;  wd = 0; path = 
        markCacheSlotEmpty: slot = 188;  wd = 0; path = 
        markCacheSlotEmpty: slot = 189;  wd = 0; path = 
        markCacheSlotEmpty: slot = 190;  wd = 0; path = 
        markCacheSlotEmpty: slot = 191;  wd = 0; path = 
        markCacheSlotEmpty: slot = 192;  wd = 0; path = 
        markCacheSlotEmpty: slot = 193;  wd = 0; path = 
        markCacheSlotEmpty: slot = 194;  wd = 0; path = 
        markCacheSlotEmpty: slot = 195;  wd = 0; path = 
        markCacheSlotEmpty: slot = 196;  wd = 0; path = 
        markCacheSlotEmpty: slot = 197;  wd = 0; path = 
        markCacheSlotEmpty: slot = 198;  wd = 0; path = 
        markCacheSlotEmpty: slot = 199;  wd = 0; path = 
    watchDir: wd = 1 [cache slot: 0]; /root/data/app/release_pack
    watchDir: wd = 2 [cache slot: 1]; /root/data/app/release_pack/shell
    watchDir: wd = 3 [cache slot: 2]; /root/data/app/release_pack/conference
    watchDir: wd = 4 [cache slot: 3]; /root/data/app/release_pack/conference/2015
    watchDir: wd = 5 [cache slot: 4]; /root/data/app/release_pack/conference/.git
    watchDir: wd = 6 [cache slot: 5]; /root/data/app/release_pack/conference/.git/hooks
    watchDir: wd = 7 [cache slot: 6]; /root/data/app/release_pack/conference/.git/info
    watchDir: wd = 8 [cache slot: 7]; /root/data/app/release_pack/conference/.git/logs
    watchDir: wd = 9 [cache slot: 8]; /root/data/app/release_pack/conference/.git/logs/refs
    watchDir: wd = 10 [cache slot: 9]; /root/data/app/release_pack/conference/.git/logs/refs/remotes
    watchDir: wd = 11 [cache slot: 10]; /root/data/app/release_pack/conference/.git/logs/refs/remotes/origin
    watchDir: wd = 12 [cache slot: 11]; /root/data/app/release_pack/conference/.git/logs/refs/heads
    watchDir: wd = 13 [cache slot: 12]; /root/data/app/release_pack/conference/.git/refs
    watchDir: wd = 14 [cache slot: 13]; /root/data/app/release_pack/conference/.git/refs/remotes
    watchDir: wd = 15 [cache slot: 14]; /root/data/app/release_pack/conference/.git/refs/remotes/origin
    watchDir: wd = 16 [cache slot: 15]; /root/data/app/release_pack/conference/.git/refs/heads
    watchDir: wd = 17 [cache slot: 16]; /root/data/app/release_pack/conference/.git/refs/tags
    watchDir: wd = 18 [cache slot: 17]; /root/data/app/release_pack/conference/.git/objects
    watchDir: wd = 19 [cache slot: 18]; /root/data/app/release_pack/conference/.git/objects/e0
    watchDir: wd = 20 [cache slot: 19]; /root/data/app/release_pack/conference/.git/objects/49
    watchDir: wd = 21 [cache slot: 20]; /root/data/app/release_pack/conference/.git/objects/ca
    watchDir: wd = 22 [cache slot: 21]; /root/data/app/release_pack/conference/.git/objects/e2
    watchDir: wd = 23 [cache slot: 22]; /root/data/app/release_pack/conference/.git/objects/d7
    watchDir: wd = 24 [cache slot: 23]; /root/data/app/release_pack/conference/.git/objects/78
    watchDir: wd = 25 [cache slot: 24]; /root/data/app/release_pack/conference/.git/objects/3a
    watchDir: wd = 26 [cache slot: 25]; /root/data/app/release_pack/conference/.git/objects/2d
    watchDir: wd = 27 [cache slot: 26]; /root/data/app/release_pack/conference/.git/objects/81
    watchDir: wd = 28 [cache slot: 27]; /root/data/app/release_pack/conference/.git/objects/18
    watchDir: wd = 29 [cache slot: 28]; /root/data/app/release_pack/conference/.git/objects/c3
    watchDir: wd = 30 [cache slot: 29]; /root/data/app/release_pack/conference/.git/objects/53
    watchDir: wd = 31 [cache slot: 30]; /root/data/app/release_pack/conference/.git/objects/62
    watchDir: wd = 32 [cache slot: 31]; /root/data/app/release_pack/conference/.git/objects/25
    watchDir: wd = 33 [cache slot: 32]; /root/data/app/release_pack/conference/.git/objects/f3
    watchDir: wd = 34 [cache slot: 33]; /root/data/app/release_pack/conference/.git/objects/04
    watchDir: wd = 35 [cache slot: 34]; /root/data/app/release_pack/conference/.git/objects/1b
    watchDir: wd = 36 [cache slot: 35]; /root/data/app/release_pack/conference/.git/objects/6a
    watchDir: wd = 37 [cache slot: 36]; /root/data/app/release_pack/conference/.git/objects/a8
    watchDir: wd = 38 [cache slot: 37]; /root/data/app/release_pack/conference/.git/objects/1e
    watchDir: wd = 39 [cache slot: 38]; /root/data/app/release_pack/conference/.git/objects/3c
    watchDir: wd = 40 [cache slot: 39]; /root/data/app/release_pack/conference/.git/objects/f1
    watchDir: wd = 41 [cache slot: 40]; /root/data/app/release_pack/conference/.git/objects/9a
    watchDir: wd = 42 [cache slot: 41]; /root/data/app/release_pack/conference/.git/objects/7c
    watchDir: wd = 43 [cache slot: 42]; /root/data/app/release_pack/conference/.git/objects/31
    watchDir: wd = 44 [cache slot: 43]; /root/data/app/release_pack/conference/.git/objects/0f
    watchDir: wd = 45 [cache slot: 44]; /root/data/app/release_pack/conference/.git/objects/29
    watchDir: wd = 46 [cache slot: 45]; /root/data/app/release_pack/conference/.git/objects/b4
    watchDir: wd = 47 [cache slot: 46]; /root/data/app/release_pack/conference/.git/objects/c9
    watchDir: wd = 48 [cache slot: 47]; /root/data/app/release_pack/conference/.git/objects/info
    watchDir: wd = 49 [cache slot: 48]; /root/data/app/release_pack/conference/.git/objects/77
    watchDir: wd = 50 [cache slot: 49]; /root/data/app/release_pack/conference/.git/objects/be
    watchDir: wd = 51 [cache slot: 50]; /root/data/app/release_pack/conference/.git/objects/7a
    watchDir: wd = 52 [cache slot: 51]; /root/data/app/release_pack/conference/.git/objects/0c
    watchDir: wd = 53 [cache slot: 52]; /root/data/app/release_pack/conference/.git/objects/6f
    watchDir: wd = 54 [cache slot: 53]; /root/data/app/release_pack/conference/.git/objects/32
    watchDir: wd = 55 [cache slot: 54]; /root/data/app/release_pack/conference/.git/objects/bd
    watchDir: wd = 56 [cache slot: 55]; /root/data/app/release_pack/conference/.git/objects/3f
    watchDir: wd = 57 [cache slot: 56]; /root/data/app/release_pack/conference/.git/objects/f0
    watchDir: wd = 58 [cache slot: 57]; /root/data/app/release_pack/conference/.git/objects/c0
    watchDir: wd = 59 [cache slot: 58]; /root/data/app/release_pack/conference/.git/objects/52
    watchDir: wd = 60 [cache slot: 59]; /root/data/app/release_pack/conference/.git/objects/87
    watchDir: wd = 61 [cache slot: 60]; /root/data/app/release_pack/conference/.git/objects/73
    watchDir: wd = 62 [cache slot: 61]; /root/data/app/release_pack/conference/.git/objects/71
    watchDir: wd = 63 [cache slot: 62]; /root/data/app/release_pack/conference/.git/objects/59
    watchDir: wd = 64 [cache slot: 63]; /root/data/app/release_pack/conference/.git/objects/45
    watchDir: wd = 65 [cache slot: 64]; /root/data/app/release_pack/conference/.git/objects/56
    watchDir: wd = 66 [cache slot: 65]; /root/data/app/release_pack/conference/.git/objects/b7
    watchDir: wd = 67 [cache slot: 66]; /root/data/app/release_pack/conference/.git/objects/a9
    watchDir: wd = 68 [cache slot: 67]; /root/data/app/release_pack/conference/.git/objects/74
    watchDir: wd = 69 [cache slot: 68]; /root/data/app/release_pack/conference/.git/objects/1c
    watchDir: wd = 70 [cache slot: 69]; /root/data/app/release_pack/conference/.git/objects/7e
    watchDir: wd = 71 [cache slot: 70]; /root/data/app/release_pack/conference/.git/objects/1a
    watchDir: wd = 72 [cache slot: 71]; /root/data/app/release_pack/conference/.git/objects/ee
    watchDir: wd = 73 [cache slot: 72]; /root/data/app/release_pack/conference/.git/objects/86
    watchDir: wd = 74 [cache slot: 73]; /root/data/app/release_pack/conference/.git/objects/37
    watchDir: wd = 75 [cache slot: 74]; /root/data/app/release_pack/conference/.git/objects/39
    watchDir: wd = 76 [cache slot: 75]; /root/data/app/release_pack/conference/.git/objects/d2
    watchDir: wd = 77 [cache slot: 76]; /root/data/app/release_pack/conference/.git/objects/c2
    watchDir: wd = 78 [cache slot: 77]; /root/data/app/release_pack/conference/.git/objects/f5
    watchDir: wd = 79 [cache slot: 78]; /root/data/app/release_pack/conference/.git/objects/dc
    watchDir: wd = 80 [cache slot: 79]; /root/data/app/release_pack/conference/.git/objects/f8
    watchDir: wd = 81 [cache slot: 80]; /root/data/app/release_pack/conference/.git/objects/4e
    watchDir: wd = 82 [cache slot: 81]; /root/data/app/release_pack/conference/.git/objects/88
    watchDir: wd = 83 [cache slot: 82]; /root/data/app/release_pack/conference/.git/objects/90
    watchDir: wd = 84 [cache slot: 83]; /root/data/app/release_pack/conference/.git/objects/36
    watchDir: wd = 85 [cache slot: 84]; /root/data/app/release_pack/conference/.git/objects/pack
    watchDir: wd = 86 [cache slot: 85]; /root/data/app/release_pack/conference/.git/objects/34
    watchDir: wd = 87 [cache slot: 86]; /root/data/app/release_pack/conference/.git/objects/4a
    watchDir: wd = 88 [cache slot: 87]; /root/data/app/release_pack/conference/.git/objects/7f
    watchDir: wd = 89 [cache slot: 88]; /root/data/app/release_pack/conference/.git/objects/ba
    watchDir: wd = 90 [cache slot: 89]; /root/data/app/release_pack/conference/.git/objects/a5
    watchDir: wd = 91 [cache slot: 90]; /root/data/app/release_pack/conference/.git/objects/35
    watchDir: wd = 92 [cache slot: 91]; /root/data/app/release_pack/conference/.git/objects/09
    watchDir: wd = 93 [cache slot: 92]; /root/data/app/release_pack/conference/.git/objects/e3
    watchDir: wd = 94 [cache slot: 93]; /root/data/app/release_pack/conference/.git/objects/cf
    watchDir: wd = 95 [cache slot: 94]; /root/data/app/release_pack/conference/.git/objects/ab
    watchDir: wd = 96 [cache slot: 95]; /root/data/app/release_pack/conference/.git/objects/e1
    watchDir: wd = 97 [cache slot: 96]; /root/data/app/release_pack/conference/.git/objects/a7
    watchDir: wd = 98 [cache slot: 97]; /root/data/app/release_pack/conference/.git/branches
    watchDir: wd = 99 [cache slot: 98]; /root/data/app/release_pack/conference/2018
    watchDir: wd = 100 [cache slot: 99]; /root/data/app/release_pack/conference/2017
    watchDir: wd = 101 [cache slot: 100]; /root/data/app/release_pack/conference/2016
    watchDir: wd = 102 [cache slot: 101]; /root/data/app/release_pack/uparse
    watchDir: wd = 103 [cache slot: 102]; /root/data/app/release_pack/uparse/config
    watchDir: wd = 104 [cache slot: 103]; /root/data/app/release_pack/uparse/config/template
    watchDir: wd = 105 [cache slot: 104]; /root/data/app/release_pack/uparse/log
    watchDir: wd = 106 [cache slot: 105]; /root/data/app/release_pack/uparse/lib
    watchDir: wd = 107 [cache slot: 106]; /root/data/app/release_pack/uparse/lib/luasandbox
    watchDir: wd = 108 [cache slot: 107]; /root/data/app/release_pack/uparse/lib/luasandbox/modules
    watchDir: wd = 109 [cache slot: 108]; /root/data/app/release_pack/uparse/lib/luasandbox/io_modules
    watchDir: wd = 110 [cache slot: 109]; /root/data/app/release_pack/uparse/lib/luasandbox/io_modules/mime
    watchDir: wd = 111 [cache slot: 110]; /root/data/app/release_pack/uparse/lib/luasandbox/io_modules/socket
    watchDir: wd = 112 [cache slot: 111]; /root/data/app/release_pack/uparse/include
    watchDir: wd = 113 [cache slot: 112]; /root/data/app/release_pack/uparse/include/luasandbox
    watchDir: wd = 114 [cache slot: 113]; /root/data/app/release_pack/uparse/bin
    watchDir: wd = 115 [cache slot: 114]; /root/data/app/release_pack/uparse/temp
    watchDir: wd = 116 [cache slot: 115]; /root/data/app/release_pack/uparse/share
    watchDir: wd = 117 [cache slot: 116]; /root/data/app/release_pack/uparse/share/doc
    watchDir: wd = 118 [cache slot: 117]; /root/data/app/release_pack/uparse/share/doc/luasandbox
    watchDir: wd = 119 [cache slot: 118]; /root/data/app/release_pack/uparse/share/man
    watchDir: wd = 120 [cache slot: 119]; /root/data/app/release_pack/uparse/share/man/man5
    watchDir: wd = 121 [cache slot: 120]; /root/data/app/release_pack/uparse/share/man/man1
    watchDir: wd = 122 [cache slot: 121]; /root/data/app/release_pack/uparse/share/uparse
    watchDir: wd = 123 [cache slot: 122]; /root/data/app/release_pack/uparse/share/uparse/dasher
    watchDir: wd = 124 [cache slot: 123]; /root/data/app/release_pack/uparse/share/uparse/dasher/fonts
    watchDir: wd = 125 [cache slot: 124]; /root/data/app/release_pack/uparse/share/uparse/dasher/css
    watchDir: wd = 126 [cache slot: 125]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript
    watchDir: wd = 127 [cache slot: 126]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/adapters
    watchDir: wd = 128 [cache slot: 127]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/lib
    watchDir: wd = 129 [cache slot: 128]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/templates
    watchDir: wd = 130 [cache slot: 129]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/templates/sandboxes
    watchDir: wd = 131 [cache slot: 130]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/templates/termination_report
    watchDir: wd = 132 [cache slot: 131]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/templates/health
    watchDir: wd = 133 [cache slot: 132]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/models
    watchDir: wd = 134 [cache slot: 133]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/views
    watchDir: wd = 135 [cache slot: 134]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/views/sandboxes
    watchDir: wd = 136 [cache slot: 135]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/views/termination_report
    watchDir: wd = 137 [cache slot: 136]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/views/health
    watchDir: wd = 138 [cache slot: 137]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/presenters
    watchDir: wd = 139 [cache slot: 138]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/vendor
    watchDir: wd = 140 [cache slot: 139]; /root/data/app/release_pack/uparse/share/uparse/dasher/javascript/collections
    watchDir: wd = 141 [cache slot: 140]; /root/data/app/release_pack/uparse/share/uparse/dasher/images
    watchDir: wd = 142 [cache slot: 141]; /root/data/app/release_pack/uparse/share/uparse/examples
    watchDir: wd = 143 [cache slot: 142]; /root/data/app/release_pack/uparse/share/uparse/lua_filters
    watchDir: wd = 144 [cache slot: 143]; /root/data/app/release_pack/uparse/share/uparse/lua_decoders
    watchDir: wd = 145 [cache slot: 144]; /root/data/app/release_pack/uparse/share/uparse/lua_modules
    watchDir: wd = 146 [cache slot: 145]; /root/data/app/release_pack/uparse/share/uparse/lua_encoders
    watchDir: wd = 147 [cache slot: 146]; /root/data/app/release_pack/uparse/share/uparse/lua_io_modules
    watchDir: wd = 148 [cache slot: 147]; /root/data/app/release_pack/uparse/share/uparse/lua_io_modules/mime
    watchDir: wd = 149 [cache slot: 148]; /root/data/app/release_pack/uparse/share/uparse/lua_io_modules/socket
    watchDir: wd = 150 [cache slot: 149]; /root/data/app/release_pack/librdkafka
    watchDir: wd = 151 [cache slot: 150]; /root/data/app/release_pack/librdkafka/packaging
    watchDir: wd = 152 [cache slot: 151]; /root/data/app/release_pack/librdkafka/packaging/cmake
    watchDir: wd = 153 [cache slot: 152]; /root/data/app/release_pack/librdkafka/packaging/cmake/try_compile
    watchDir: wd = 154 [cache slot: 153]; /root/data/app/release_pack/librdkafka/packaging/debian
    watchDir: wd = 155 [cache slot: 154]; /root/data/app/release_pack/librdkafka/packaging/debian/source
    watchDir: wd = 156 [cache slot: 155]; /root/data/app/release_pack/librdkafka/packaging/rpm
    watchDir: wd = 157 [cache slot: 156]; /root/data/app/release_pack/librdkafka/packaging/archlinux
    watchDir: wd = 158 [cache slot: 157]; /root/data/app/release_pack/librdkafka/packaging/nuget
    watchDir: wd = 159 [cache slot: 158]; /root/data/app/release_pack/librdkafka/packaging/nuget/templates
    watchDir: wd = 160 [cache slot: 159]; /root/data/app/release_pack/librdkafka/packaging/nuget/zfile
    watchDir: wd = 161 [cache slot: 160]; /root/data/app/release_pack/librdkafka/packaging/nuget/common
    watchDir: wd = 162 [cache slot: 161]; /root/data/app/release_pack/librdkafka/packaging/nuget/common/p-common__plat-windows__arch-win32__bldtype-Release
    watchDir: wd = 163 [cache slot: 162]; /root/data/app/release_pack/librdkafka/packaging/nuget/common/p-common__plat-windows__arch-x64__bldtype-Release
    watchDir: wd = 164 [cache slot: 163]; /root/data/app/release_pack/librdkafka/packaging/tools
    watchDir: wd = 165 [cache slot: 164]; /root/data/app/release_pack/librdkafka/packaging/homebrew
    watchDir: wd = 166 [cache slot: 165]; /root/data/app/release_pack/librdkafka/src
    watchDir: wd = 167 [cache slot: 166]; /root/data/app/release_pack/librdkafka/.github
    watchDir: wd = 168 [cache slot: 167]; /root/data/app/release_pack/librdkafka/src-cpp
